SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1801 N Sagewood Ct,Auburn,AL,36830,799000,5,4.5,GROVE HILL,5800,43560,2003,1,138,,Active,,,https://www.redfin.com/AL/Auburn/1801-N-Sagewood-Ct-36830/home/124132278,LCMLS,156217,N,Y,32.5734321,-85.4530698
MLS Listing,,Single Family Residential,5471 10th St,Malone,FL,32445,89999,2,1.0,No Named Subdivision,1008,15682,1957,1,89,,Active,,,https://www.redfin.com/FL/Malone/5471-10th-St-32445/home/142202877,CPARMLS,734134,N,Y,30.9622729,-85.1622655
MLS Listing,,Single Family Residential,1006 Pelham Ave,Graceville,FL,32440,154900,3,2.0,[No Recorded Subdiv],1200,18992,2022,1,129,,Active,,,https://www.redfin.com/FL/Graceville/1006-Pelham-Ave-32440/home/178398920,CPARMLS,732807,N,Y,30.9682073,-85.5136854
MLS Listing,,Mobile/Manufactured Home,5940 Tarus Road Rd,Bascom,FL,32423,89900,3,2.0,[No Recorded Subdiv],1152,42689,1994,1,78,,Active,,,https://www.redfin.com/FL/Bascom/5940-Tarus-Rd-32423/home/142208951,CPARMLS,729678,N,Y,30.9706827,-85.0978621
MLS Listing,,Single Family Residential,1025 White Ave,Graceville,FL,32440,99900,3,1.0,[No Recorded Subdiv],1330,17990,1950,1,75,,Active,,,https://www.redfin.com/FL/Graceville/1025-White-Ave-32440/home/142197267,CPARMLS,735378,N,Y,30.9620729,-85.5118353
MLS Listing,,Single Family Residential,5162 4th Ave,Malone,FL,32445,129900,3,2.0,No Named Subdivision,1188,15246,1955,1,109,,Active,,,https://www.redfin.com/FL/Malone/5162-4th-Ave-32445/home/142202879,CPARMLS,734403,N,Y,30.9634332,-85.1631058
MLS Listing,,Vacant Land,5409 College Dr Dr,Graceville,FL,32440,44000,,,[No Recorded Subdiv],,34848,,1,,,Active,,,https://www.redfin.com/FL/GRACEVILLE/COLLEGE-ST-32440/home/142197729,CPARMLS,735164,N,Y,30.961491,-85.506147
MLS Listing,,Single Family Residential,996 12th Ave,Graceville,FL,32440,189900,3,2.0,Graceville,1938,40500,1962,1,98,,Active,,,https://www.redfin.com/FL/Graceville/996-12th-Ave-32440/home/142228599,CPARMLS,733267,N,Y,30.9610383,-85.5142498
MLS Listing,,Single Family Residential,5885 Friendship Church Rd,Malone,FL,32445,99900,2,1.0,[No Recorded Subdiv],1344,196020,1946,1,74,,Active,,,https://www.redfin.com/FL/Malone/5885-Friendship-Church-Rd-32445/home/142223878,CPARMLS,732894,N,Y,30.993065,-85.2106833
MLS Listing,,Single Family Residential,102 Avalon Dr,Warner Robins,GA,31093,250000,4,2.5,Camelot,2138,19602,1971,1,117,,Active,,,https://www.redfin.com/GA/Warner-Robins/102-Avalon-Dr-31093/home/162556045,GAMLS,20092454,N,Y,32.6353009,-83.6525271
MLS Listing,,Single Family Residential,916 Dozier St,Columbus,GA,31904,149900,2,2.0,Highland Heights,1465,6969,1943,1,102,,Active,,,https://www.redfin.com/GA/Columbus/916-Dozier-St-31904/home/138604199,GAMLS,20092453,N,Y,32.5013301,-84.9803522
MLS Listing,,Single Family Residential,115 Bridgeport Ln,Perry,GA,31069,174900,3,2.0,New Haven,1274,9147,2012,1,137,4,Active,,,https://www.redfin.com/GA/Perry/115-Bridgeport-Ln-31069/home/134559091,CGMLS,227532,N,Y,32.4562424,-83.6808611
MLS Listing,,Single Family Residential,422 N GA Hwy 87,Cochran,GA,31014,74900,2,2.0,,1565,65775,1949,1,48,,Active,,,https://www.redfin.com/GA/Cochran/422-GA-87-31014/home/117917387,CGMLS,227531,N,Y,32.3716451,-83.3319846
MLS Listing,,Single Family Residential,1272 Spring Hill Rd,Alamo,GA,30411,699997,5,4.0,No Recorded Subdivision,3000,2131826,1999,1,233,,Active,,,https://www.redfin.com/GA/Alamo/1272-Springhill-Rd-30411/home/142893342,GAMLS,20092434,N,Y,32.0603307,-82.7264157
MLS Listing,,Single Family Residential,3264 Walton Rd,Fort Valley,GA,31030,350000,3,2.5,,2579,416869,1996,1,136,,Active,,,https://www.redfin.com/GA/Fort-Valley/3264-Walton-Rd-31030/home/127702294,GAMLS,20092435,N,Y,32.6408799,-83.8996813
MLS Listing,,Single Family Residential,1603 Shadywood Ct,Opelika,AL,36801,439000,5,3.0,NORTHGATE,3966,21780,1978,1,111,,Active,,,https://www.redfin.com/AL/Opelika/1603-Shadywood-Ct-36801/home/124528869,LCMLS,161864,N,Y,32.6718867,-85.3995232
MLS Listing,,Single Family Residential,9255 Cottonwood Rd,Dothan,AL,36301,375000,4,2.5,Rural,3306,335412,1972,1,113,,Active,,,https://www.redfin.com/AL/Dothan/9255-Cottonwood-Rd-36301/home/121346636,MAAR,531358,N,Y,31.1028906,-85.3138237
MLS Listing,,Vacant Land,305 Morris Ave,Opelika,AL,36801,48827,,,GLENNSHIRE,,12196,,1,,,Active,,,https://www.redfin.com/AL/Opelika/305-Morris-Ave-36801/home/183384718,LCMLS,161871,N,Y,32.6795578,-85.3771002
MLS Listing,,Vacant Land,307 Morris Ave,Opelika,AL,36801,45827,,,GLENNSHIRE,,12196,,1,,,Active,,,https://www.redfin.com/AL/Opelika/307-Morris-Ave-36801/home/183384717,LCMLS,161870,N,Y,32.6795573,-85.377144
MLS Listing,,Single Family Residential,172 Talton Rd,Kathleen,GA,31047,489700,4,3.5,Acres @ Planters Ridge,2950,37461,2023,1,166,42,Active,,,https://www.redfin.com/GA/Kathleen/172-Talton-Rd-31047/home/182139854,GAMLS,20092422,N,Y,32.497252,-83.641621
MLS Listing,,Single Family Residential,227 Flat Shoal Dr,Bonaire,GA,31005,474096,4,3.0,Riverbend North,2856,13939,2022,1,166,29,Active,,,https://www.redfin.com/GA/BONAIRE/227-FLAT-SHOAL-DR-31005/home/175468376,GAMLS,20092421,N,Y,32.538726,-83.574321
MLS Listing,,Single Family Residential,3641 Surrey Ln,Columbus,GA,31906,145000,4,2.5,Carriage Estates,2050,9583,1972,1,71,,Active,,,https://www.redfin.com/GA/Columbus/3641-Surrey-Ln-31906/home/138589241,GAMLS,10116998,N,Y,32.4705288,-84.9368577
MLS Listing,,Single Family Residential,203 Vienna Cir,Fort Valley,GA,31030,125000,3,2.0,Peach Valley,1098,8712,1978,1,114,,Active,,,https://www.redfin.com/GA/Fort-Valley/203-Vienna-Cir-31030/home/62148456,FMLS,7154634,N,Y,32.55266,-83.8770786
MLS Listing,,Vacant Land,423 Morris Ave,Opelika,AL,36801,48827,,,GLENNSHIRE,,10890,,1,,,Active,,,https://www.redfin.com/AL/Opelika/423-Morris-Ave-36801/home/183384598,LCMLS,161868,N,Y,32.6794054,-85.3793309
MLS Listing,,Vacant Land,417 Morris Ave,Opelika,AL,36801,45827,,,GLENNSHIRE,,10890,,1,,,Active,,,https://www.redfin.com/AL/Opelika/417-Morris-Ave-36801/home/183384597,LCMLS,161869,N,Y,32.6794064,-85.3792859
MLS Listing,,Single Family Residential,1712 Sewell Cir,Perry,GA,31069,100000,3,2.0,Davis,1191,18295,1950,1,84,,Active,,,https://www.redfin.com/GA/Perry/1712-Sewell-Cir-31069/home/134292362,CGMLS,227525,N,Y,32.4676248,-83.7155756
MLS Listing,,Single Family Residential,406 Granada Ter,Warner Robins,GA,31088,250000,4,2.5,MILLER HILLS ESTATE,2413,15245,1978,1,104,,Active,,,https://www.redfin.com/GA/Warner-Robins/406-Granada-Ter-31088/home/134795910,CGMLS,227524,N,Y,32.6075986,-83.6351963
MLS Listing,,Single Family Residential,3006 Nancy Dr,Phenix City,AL,36870,172000,4,3.0,Gatewood,1777,6098,2008,1,97,,Active,,,https://www.redfin.com/AL/Phenix-City/3006-Nancy-Dr-36870/home/135028964,EABOR,94164,N,Y,32.4921342,-85.0489398
MLS Listing,,Single Family Residential,3025 Chatooga Way,Bonaire,GA,31005,272000,3,2.5,The Farm @ Riverbend,1854,33105,2010,1,147,,Active,,,https://www.redfin.com/GA/Bonaire/3025-Chatooga-Way-31005/home/134654890,GAMLS,20092388,N,Y,32.5171583,-83.5526742
MLS Listing,,Single Family Residential,303 Lattice Bnd,Bonaire,GA,31005,329900,5,3.0,Peach Blossom Terrace,2832,12196,2020,1,116,,Active,,,https://www.redfin.com/GA/Bonaire/303-Lattice-Bnd-31005/home/134666122,GAMLS,20092387,N,Y,32.5670729,-83.6541477
MLS Listing,,Single Family Residential,114 Meadows Walk,Byron,GA,31008,329900,5,3.0,Meadow's Walk,3452,19602,2009,1,96,,Active,,,https://www.redfin.com/GA/Byron/114-Meadow-s-Walk-Dr-31008/home/62154246,CGMLS,227523,N,Y,32.6402873,-83.7626335
MLS Listing,,Single Family Residential,118 Falcon Crst,Warner Robins,GA,31088,299900,3,3.0,Eagle Ridge @ Stathams,2852,20473,1991,1,105,6,Active,,,https://www.redfin.com/GA/Warner-Robins/118-Falcon-Crst-31088/home/134548028,GAMLS,20092376,N,Y,32.5735608,-83.5756865
MLS Listing,,Mobile/Manufactured Home,84 Holder Ln,Eastman,GA,31023,84400,3,2.0,,1280,130680,2015,1,66,,Active,,,https://www.redfin.com/GA/Eastman/84-Holder-Spur-31023/home/128362663,GAMLS,10116895,N,Y,32.2971955,-83.2440348
MLS Listing,,Single Family Residential,614 Post Oak Way,Warner Robins,GA,31088,249900,3,2.0,The Terraces @ Carlton Ridge,1558,,2007,1,160,,Active,,,https://www.redfin.com/GA/Warner-Robins/614-Post-Oak-Way-31088/home/134395618,GAMLS,20092366,N,Y,32.5632794,-83.7122337
MLS Listing,,Single Family Residential,106 Jessica Ct,Byron,GA,31008,230000,3,2.0,WEXFORD PLANTATION,1542,29620,2000,1,149,,Active,,,https://www.redfin.com/GA/Byron/106-Jessica-Ct-31008/home/134956266,CGMLS,227521,N,Y,32.6420723,-83.7190211
MLS Listing,,Single Family Residential,1008 Lynn Jarvis Rd,Kinsey,AL,36303,200000,3,2.0,N/A,1584,43995,1996,1,126,,Active,,,https://www.redfin.com/AL/Kinsey/1008-Lynn-Jarvis-Rd-36303/home/120860550,SAMLS,188848,N,Y,31.2905311,-85.326343
MLS Listing,,Single Family Residential,380 Clements W,Lenox,GA,31637,224900,3,2.0,N/A,,43560,1966,1,,,Active,,,https://www.redfin.com/GA/Lenox/380-W-Clements-Ave-31637/home/183381023,GAMLS,10116869,N,Y,31.2733904,-83.4689662
MLS Listing,,Single Family Residential,1200 Lee Road 154,Opelika,AL,36804,1,3,1.0,Metes and Bounds,1779,177724,1990,1,0,,Active,,,https://www.redfin.com/AL/Opelika/1200-Lee-Rd-154-36804/home/124446935,EABOR,94163,N,Y,32.6420153,-85.2907139
MLS Listing,,Single Family Residential,942 Falconer Dr,Auburn,AL,36832,542000,4,3.0,PARC AT UNIVERSITY CLUB,2843,7840,2020,1,191,,Active,,,https://www.redfin.com/AL/Auburn/942-Falconer-Dr-36832/home/125532922,LCMLS,161854,N,Y,32.6239298,-85.5098232
MLS Listing,,Vacant Land,5 Acres County Rd 146,Headland,AL,36345,47500,,,NA,,217800,,1,,,Active,,,https://www.redfin.com/AL/Headland/5-Acres-County-Rd-146-Unknown/home/183380616,SAMLS,188847,N,Y,31.35809308,-85.33394992
MLS Listing,,Vacant Land,3 Acres County Rd 146,Headland,AL,36345,29500,,,NA,,130680,,1,,,Active,,,https://www.redfin.com/AL/Headland/3-Acres-County-Rd-146-Unknown/home/183380513,SAMLS,188846,N,Y,31.33128898,-85.41751975
MLS Listing,,Single Family Residential,203 Windsor Dr,Warner Robins,GA,31088,149900,4,2.0,HIGHLAND ESTATES,1904,9583,1970,1,79,,Active,,,https://www.redfin.com/GA/Warner-Robins/203-Windsor-Dr-31088/home/134547261,CGMLS,227518,N,Y,32.5889962,-83.6430934
MLS Listing,,Vacant Land,Lot 2 Suggs Rd,Dothan,AL,36303,49900,,,Suggs Rd,,89297,,1,,,Active,,,https://www.redfin.com/AL/Dothan/Lot-2-Suggs-Rd-36303/home/183377039,SAMLS,188845,N,Y,31.29571805,-85.3735332
MLS Listing,,Vacant Land,Lot 3 Suggs Rd,Dothan,AL,36303,42900,,,Suggs rd,,67953,,1,,,Active,,,https://www.redfin.com/AL/Dothan/Lot-3-Suggs-Rd-36303/home/183376795,SAMLS,188844,N,Y,31.29571805,-85.3735332
MLS Listing,,Single Family Residential,80 Apache Trl,Fort Mitchell,AL,36856,249000,4,2.0,The Reserve at Westgate,1801,14810,2020,1,138,,Active,,,https://www.redfin.com/AL/Fort-Mitchell/80-Apache-Trl-36856/home/134989627,EABOR,94158,N,Y,32.2813307,-84.9974128
MLS Listing,,Single Family Residential,11 Hill St,Wrightsville,GA,31096,89900,3,2.0,N/A,1550,4791,1967,1,58,,Active,,,https://www.redfin.com/GA/Wrightsville/11-Hill-St-31096/home/135970837,GAMLS,10116738,N,Y,32.7328213,-82.7202776
MLS Listing,,Single Family Residential,260 Lee Road 437,Phenix City,AL,36870,215000,3,2.0,Deerfield Plantation,2027,23522,1998,2,106,,Active,,,https://www.redfin.com/AL/PHENIX-CITY/260-LEE-ROAD-437-36870/home/124187495,EABOR,94160,N,Y,32.488698,-85.148699
MLS Listing,,Multi-Family (2-4 Unit),8082 Veterans Pkwy,Columbus,GA,31909,500000,,,,,,2003,2,,,Active,,,https://www.redfin.com/GA/Columbus/8082-Veterans-Pkwy-31909/home/179459977,GAMLS,20092272,N,Y,32.5643031,-84.9333096
MLS Listing,,Vacant Land,1791 Payne Rd,Rentz,GA,31075,59900,,,Rentz Estates Subdivision,,344995,,2,,,Active,,,https://www.redfin.com/GA/Rentz/1791-Payne-Rd-31075/home/183372127,GAMLS,20092268,N,Y,32.4025872,-82.9786815
MLS Listing,,Single Family Residential,119 Haywood Mcdonald Rd,Cochran,GA,31014,153000,3,2.0,,1554,506602,1967,2,98,,Active,,,https://www.redfin.com/GA/Cochran/119-Haywood-McDonald-Rd-31014/home/117970627,GAMLS,20092263,N,Y,32.4457669,-83.3473168
MLS Listing,,Vacant Land,"# Benevolence Hwy (cr-156)",Cuthbert,GA,39840,42500,,,Cuthbert,,114562,,2,,,Active,,,https://www.redfin.com/GA/Unknown/Unknown-39840/home/183371357,EBOR,23911,N,Y,31.8737077,-84.7424311
MLS Listing,,Vacant Land,"# Recreation Camp Rd",Cuthbert,GA,39840,39500,,,Cuthbert,,85377,,2,,,Active,,,https://www.redfin.com/GA/Unknown/Recreation-Camp-Rd-39840/home/183330438,EBOR,23912,N,Y,31.8264042,-84.7113371
