SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,68250 Tachevah Dr,Cathedral City,CA,92234,607000,4,2.0,Panorama,1948,8120,1986,1,312,,Active,,,https://www.redfin.com/CA/Cathedral-City/68250-Tachevah-Dr-92234/home/6062115,GPSMLS,219088418,N,Y,33.8379466,-116.4707001
MLS Listing,,Single Family Residential,29333 Norwich Ct,Menifee,CA,92586,459000,3,2.0,SRCAR - Southwest Riverside County,1798,8276,1989,1,255,,Active,,,https://www.redfin.com/CA/Menifee/29333-Norwich-Ct-92586/home/5297491,CRMLS,SW22256323,N,Y,33.6948658,-117.196022
MLS Listing,,Condo/Co-op,24433 Chancellor Ct #270,Laguna Hills,CA,92653,649999,2,2.5,S2 - Laguna Hills,1288,,1988,1,505,398,Active,December-18-2022 01:00 PM,December-18-2022 04:00 PM,https://www.redfin.com/CA/Laguna-Hills/24433-Chancellor-Ct-92653/unit-270/home/5608800,CRMLS,OC22256653,N,Y,33.582425,-117.70337
MLS Listing,,Townhouse,1405 N Broadway Unit F,Escondido,CA,92026,580000,4,2.5,North Escondido,1510,341518,1976,1,384,470,Active,December-18-2022 01:00 PM,December-18-2022 04:00 PM,https://www.redfin.com/CA/Escondido/1405-N-Broadway-92026/unit-F/home/6789547,SDMLS,220029785,N,Y,33.1422682,-117.0909849
MLS Listing,,Condo/Co-op,5405 Calle Sand Arch #185,San Diego,CA,92154,649000,4,3.5,San Diego,1777,,2020,1,365,324,Active,,,https://www.redfin.com/CA/San-Diego/5405-Calle-Sand-Arch-92154/unit-185/home/172051264,SDMLS,220029782,N,Y,32.5727507,-117.0202145
MLS Listing,,Single Family Residential,5708 Dartmoor Cir,Oceanside,CA,92057,889900,4,2.0,Oceanside,1846,7573,1996,2,482,,Active,December-17-2022 01:00 PM,December-17-2022 04:00 PM,https://www.redfin.com/CA/Oceanside/5708-Dartmoor-Cir-92057/home/3263142,SDMLS,220029724,N,Y,33.2468722,-117.2597809
MLS Listing,,Single Family Residential,1319 Debenmark Pl,San Diego,CA,92154,699000,3,2.0,San Diego,1413,5000,1978,2,495,,Active,December-17-2022 12:00 PM,December-17-2022 03:00 PM,https://www.redfin.com/CA/San-Diego/1319-Debenmark-Pl-92154/home/6160558,SDMLS,220029719,N,Y,32.5724672,-117.0645367
MLS Listing,,Condo/Co-op,2515 Kings View Cir,Spring Valley,CA,91977,499000,2,2.5,Spring Valley,1020,79475,1994,3,489,350,Active,,,https://www.redfin.com/CA/Spring-Valley/2515-Kings-View-Cir-91977/home/5667039,SDMLS,220028817,N,Y,32.7319411,-117.0084055
MLS Listing,,Single Family Residential,372 Plaza Estival,San Clemente,CA,92672,875000,3,2.5,SN - San Clemente North,1651,1575,1977,3,530,340,Active,December-17-2022 01:00 PM,December-17-2022 04:00 PM,https://www.redfin.com/CA/San-Clemente/372-Plaza-Estival-92672/home/4999128,CRMLS,OC22254688,N,Y,33.4543556,-117.6558546
MLS Listing,,Single Family Residential,1430 Bittersweet Dr Unit C,Beaumont,CA,92223,460000,3,2.5,263 - Banning/Beaumont/Cherry Valley,1406,2178,2008,5,327,129,Pre On-Market,,,https://www.redfin.com/CA/Beaumont/1430-Bittersweet-Dr-92223/unit-C/home/21948899,CRMLS,IV22254479,N,Y,33.9477854,-116.9618938
MLS Listing,,Condo/Co-op,77271 Olympic Way,Palm Desert,CA,92211,395000,2,2.0,Palm Desert Resort C,938,1742,1981,8,421,539,Active,,,https://www.redfin.com/CA/Palm-Desert/77271-Olympic-Way-92211/home/5945274,GPSMLS,219088178,N,Y,33.7553012,-116.316203
MLS Listing,,Condo/Co-op,2364 Altisma Way Unit D,Carlsbad,CA,92009,725000,2,2.5,La Costa,1429,,1982,8,507,339,Active,,,https://www.redfin.com/CA/Carlsbad/2364-Altisma-Way-92009/unit-D/home/6378506,SDMLS,220029523,N,Y,33.095742,-117.2555543
MLS Listing,,Single Family Residential,17 El Vado Dr,Rancho Santa Margarita,CA,92688,950000,4,2.5,R2 - Rancho Santa Margarita Central,1600,2617,1998,8,594,74,Active,,,https://www.redfin.com/CA/Rancho-Santa-Margarita/17-El-Vado-Dr-92688/home/5067748,CRMLS,OC22252382,N,Y,33.619895,-117.6099966
MLS Listing,,Single Family Residential,27169 Hideout Ct,Menifee,CA,92585,675000,5,3.0,SRCAR - Southwest Riverside County,3416,7349,2021,8,198,,Active,,,https://www.redfin.com/CA/Menifee/27169-Hideout-Ct-92585/home/176075007,CRMLS,SW22252854,N,Y,33.726795,-117.162492
